review_id,example_id,degradation_type,split,blind_label,true_method,prediction_path,manifest_path
review_00106,example_00053,grain,test,Output 00106,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00053_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00107,example_00053,grain,test,Output 00107,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00053_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00108,example_00053,grain,test,Output 00108,median,outputs\predictions\baselines_nosferatu_v0\median\example_00053_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00109,example_00053,grain,test,Output 00109,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00053_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00110,example_00053,grain,test,Output 00110,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00053_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00111,example_00053,grain,test,Output 00111,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00053_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00112,example_00053,grain,test,Output 00112,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00053_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00113,example_00026,grain,test,Output 00113,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00026_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00114,example_00026,grain,test,Output 00114,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00026_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00115,example_00026,grain,test,Output 00115,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00026_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00116,example_00026,grain,test,Output 00116,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00026_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00117,example_00026,grain,test,Output 00117,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00026_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00118,example_00026,grain,test,Output 00118,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00026_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00119,example_00026,grain,test,Output 00119,median,outputs\predictions\baselines_nosferatu_v0\median\example_00026_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00120,example_00027,blur_contrast,test,Output 00120,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00027_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00121,example_00027,blur_contrast,test,Output 00121,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00027_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00122,example_00027,blur_contrast,test,Output 00122,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00027_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00123,example_00027,blur_contrast,test,Output 00123,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00027_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00124,example_00027,blur_contrast,test,Output 00124,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00027_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00125,example_00027,blur_contrast,test,Output 00125,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00027_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00126,example_00027,blur_contrast,test,Output 00126,median,outputs\predictions\baselines_nosferatu_v0\median\example_00027_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00127,example_00004,scratch_dust,test,Output 00127,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00004_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00128,example_00004,scratch_dust,test,Output 00128,median,outputs\predictions\baselines_nosferatu_v0\median\example_00004_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00129,example_00004,scratch_dust,test,Output 00129,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00004_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00130,example_00004,scratch_dust,test,Output 00130,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00004_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00131,example_00004,scratch_dust,test,Output 00131,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00004_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00132,example_00004,scratch_dust,test,Output 00132,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00004_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00133,example_00004,scratch_dust,test,Output 00133,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00004_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00134,example_00022,scratch_dust,test,Output 00134,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00022_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00135,example_00022,scratch_dust,test,Output 00135,median,outputs\predictions\baselines_nosferatu_v0\median\example_00022_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00136,example_00022,scratch_dust,test,Output 00136,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00022_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00137,example_00022,scratch_dust,test,Output 00137,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00022_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00138,example_00022,scratch_dust,test,Output 00138,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00022_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00139,example_00022,scratch_dust,test,Output 00139,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00022_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00140,example_00022,scratch_dust,test,Output 00140,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00022_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00141,example_00123,blur_contrast,test,Output 00141,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00123_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00142,example_00123,blur_contrast,test,Output 00142,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00123_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00143,example_00123,blur_contrast,test,Output 00143,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00123_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00144,example_00123,blur_contrast,test,Output 00144,median,outputs\predictions\baselines_nosferatu_v0\median\example_00123_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00145,example_00123,blur_contrast,test,Output 00145,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00123_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00146,example_00123,blur_contrast,test,Output 00146,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00123_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00147,example_00123,blur_contrast,test,Output 00147,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00123_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
